cadence,eyeMoveBigHorizontal,focus,numBlinks,sleepy
0,2.181818,2,2.181818,1
0,5.454545,3,17.45454,2
0,2.068965,2,21.72414,1
0,3.636364,2,23.63636,1
0,1.2,3,20.4,1
0,10.90909,3,0,1
0,24,0,16,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,3.461539,2,16.15385,3
0,4.285715,2,27.85714,2
0,0,1,17.58621,2
0,1,2,22,2
0,0,3,10.71429,1
0,1.071429,3,10.71429,1
0,0,3,16,1
0,4.390244,1,20.4878,2
0,0,2,7,1
0,2,3,13,0
0,5.555555,2,40,0
0,9.310345,2,24.82759,0
0,7.2,2,51.6,2
0,7.368421,2,55.78947,1
0,3.157895,2,41.05263,1
0,2,2,38,1
0,6,1,18,1
0,4,2,33,1
125,4.705883,0,41.17647,0
111,0,0,49.47369,0
111,6.857143,0,37.71429,0
110,25.71429,0,55.71428,0
108,13.84615,0,50.76923,0
119,12,0,48,0
120,24,0,48,0
118,0,0,62.14286,0
116,0,0,55.38462,0
0,0,2,25,2
0,7.241379,1,22.75862,2
0,3,2,20,1
0,6.206897,1,18.62069,2
0,2,1,19,1
0,6,1,14,1
132,9.152542,0,12.20339,0
116,8.571429,0,29.14286,0
117,18,0,18,0
121,11.53846,0,50.76923,0
117,15.48387,0,61.93548,0
117,8.571429,0,25.71429,0
0,10.16949,2,11.18644,0
0,5.263158,3,12.63158,0
0,2,2,16,0
0,0,1,14,1
0,0,2,11,2
0,2,2,21,3
0,3.050847,2,15.25424,2
0,6.792453,2,26.03773,2
120,8.571429,0,50.20408,0
124,12.5,0,52.5,0
116,5,0,37.5,0
0,5.806451,0,23.22581,0
0,1.22449,1,22.04082,1
0,3.67347,1,28.16327,1
0,4.285715,1,21.42857,1
0,6.25,1,23.75,2
0,3.870968,1,29.03226,2
0,1.5,1,31.5,1
0,2.4,2,28.8,2
0,12,2,28,2
0,7.5,1,28.5,3
0,5,1,23.75,3
0,5.581395,1,26.51163,2
113,2.222222,0,33.33334,0
109,12,0,24,0
103,5,0,22.5,0
108,23.07692,0,13.84615,0
0,8.82353,0,26.47059,0
117,12.85714,0,34.28572,0
0,7.5,0,25,0
0,8.780487,1,21.95122,2
0,8.888889,2,23.33333,2
0,1.2,2,21.6,2
0,1.25,1,23.75,2
0,1.090909,1,17.45454,1
0,3.157895,2,26.31579,2
0,4.528302,3,15.84906,2
0,7.5,1,34.5,3
0,6.101695,2,26.44068,2
0,1,2,25,2
0,1,3,12,1
0,1,2,6,2
0,4,2,2,1
0,0,2,2,1
0,0,2,2,1
0,2,3,6,1
0,0,2,18.30508,1
0,1,3,11,3
0,3.214286,2,26.78571,1
0,1,3,9,2
0,2.033898,1,17.28814,2
0,1.034483,2,22.75862,2
111,8.571429,0,22.85714,0
120,5,0,20,0
0,1.034483,2,23.7931,2
0,0,3,7.636364,2
0,0,3,0,2
0,0,0,0,0
0,3,3,11,2
0,0,3,7,1
0,3.103448,1,24.82759,1
0,1,2,9,1
0,1,2,3,2
0,2,1,16,1
0,0,2,1,3
0,1.016949,0,0,0
0,1.034483,2,1.034483,3
0,1.111111,3,7.777778,3
0,1.111111,3,15.55556,1
0,3.103448,2,4.137931,1
0,0,2,0,2
0,0,0,0,0
0,0,0,0,0
0,1.090909,2,14.18182,1
0,3.396226,2,2.264151,1
0,1.034483,2,2.068965,2
0,0,2,8.275862,1
0,1.052632,2,4.210526,1
0,0,2,4.137931,2
0,0,2,1,1
0,1.090909,2,2.181818,1
0,0,2,1.034483,2
0,0,2,0,3
0,0,0,0,0
0,2.033898,0,0,0
0,0,2,3,2
0,2.264151,2,3.396226,2
0,1.090909,2,5.454545,2
0,11.02041,1,20.81633,0
0,1.111111,2,8.888889,0
0,1.132076,3,12.45283,0
0,0,2,14,1
0,0,3,10.8,2
0,0,2,12,2
0,0,3,7,1
0,0,2,1,1
0,0,2,1.034483,0
0,0,2,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,3,0
0,0,2,1.052632,0
0,0,2,15.78947,0
0,0,2,14.18182,1
0,0,2,4.444445,1
0,0,3,12.20339,1
0,0,3,5.084746,1
0,0,3,6.31579,1
0,0,2,5.172414,1
0,0,3,5,1
0,0,3,10,2
0,0,2,29.45455,1
0,0,3,11,1
0,0,2,5.454545,0
0,0,2,20.33898,0
0,1.052632,2,27.36842,0
110,0,0,24.32432,0
112,10,0,27.5,0
94,8.181818,0,17.72727,0
98,0,0,0,0
0,0,2,34.28572,2
0,0,3,9.152542,1
0,0,3,10,1
0,0,2,3.157895,2
0,0,2,1,1
0,0,2,0,1
0,0,2,3.103448,1
0,0,2,3,1
0,0,2,1,1
0,0,2,6,1
0,1,2,8,1
0,0,2,9.411765,1
0,0,3,5,1
0,0,2,9.767442,1
0,0,2,4,1
0,0,2,2,1
0,0,2,8,1
0,0,2,4,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,2,2,1
0,0,2,0,1
0,0,0,0,0
0,0,2,3,1
0,1.071429,2,2.142857,1
0,2.4,2,6,1
0,0,2,2,1
0,0,2,2.068965,1
0,1.016949,2,3.050847,1
0,0,3,5.084746,1
0,1,3,8,1
0,1.090909,2,7.636364,1
0,0,3,10,1
0,0,2,9,1
0,0,2,4.210526,1
0,0,2,4.615385,1
0,0,2,2.142857,1
0,0,2,3.272727,1
0,0,2,1,1
0,0,2,5,1
0,0,2,5,1
0,0,2,5,1
0,0,2,4.897959,1
0,0,2,1.016949,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,8,1
0,0,2,3,1
0,0,2,7.118644,1
0,0,2,6,1
0,0,2,6.206897,1
0,0,2,5.454545,1
0,0,2,2,2
0,0,2,1,2
0,0,2,2,1
0,0,2,0,1
0,0,0,0,0
0,0,2,3,1
0,0,2,4.067797,2
0,0,2,1.034483,1
0,0,2,4.137931,1
0,0,2,4,2
0,0,2,2,1
0,0,2,1,2
0,0,2,0,2
0,0,2,1,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,2,3,1
0,0,2,0,1
0,0,0,0,0
0,0,3,11.57895,1
0,0,1,17.28814,1
0,1,2,13,1
0,0,2,3,1
0,0,2,6,1
0,0,2,4,1
0,0,2,4,1
0,0,2,8.421053,1
0,1.016949,2,3.050847,1
0,1.034483,2,11.37931,1
0,0,2,10,3
0,0,2,16,3
0,0,2,10.71429,3
0,0,2,6,1
0,0,2,6,1
0,0,2,10,1
0,0,2,5,1
0,0,2,7,1
0,0,2,8,1
0,0,1,13.22034,1
0,0,2,7,1
0,0,2,4,1
0,0,2,4,3
0,1.25,2,8.75,1
0,0,2,2,1
0,0,2,4,1
0,0,2,1,3
0,0,2,4,1
0,0,2,0,1
0,0,3,6,1
0,0,3,5.084746,1
0,0,2,5,3
0,0,2,5,3
0,0,2,5,2
0,2.142857,2,13.92857,2
0,0,2,4,1
0,0,2,4,1
0,0,2,18.30508,1
0,0,2,4.210526,1
0,0,2,15,2
0,0,3,10,1
0,0,2,16,1
0,2.033898,2,12.20339,2
0,0,2,22.64151,2
0,2.44898,1,13.46939,1
106,0,0,15.88235,0
108,8.333334,0,43.33333,0
106,9.056604,0,46.41509,0
109,20,0,50,0
102,21.25,0,26.25,0
103,11.25,0,39.375,0
107,12.30769,0,78.46154,0
109,11.37931,0,64.13793,0
111,9.473684,0,74.73685,0
109,9.473684,0,72.63158,0
110,0,0,23,0
108,0,0,56,0
113,0,0,47,0
118,2.105263,0,52.63158,0
110,2.105263,0,42.10526,0
113,4.285715,0,48.21428,0
115,8.571429,0,67.34694,0
115,10.58824,0,58.23529,0
111,1.333333,0,44,0
111,7.142857,0,51.42857,0
111,6.428572,0,53.57143,0
109,4.615385,0,53.07692,0
108,10,0,61.25,0
107,16.74419,0,51.62791,0
107,18.75,0,53.75,0
108,12,0,58,0
105,13.5,0,54,0
106,4.390244,0,43.90244,0
107,17.64706,0,40.58823,0
102,8.75,0,26.25,0
0,6.428572,2,17.14286,1
106,22.5,0,31.875,0
104,14,0,42,0
106,15,0,85,0
102,18.85714,0,104.5714,0
0,9.767442,1,36.27907,0
0,7.777778,2,35.55556,0
0,3.461539,2,19.61539,0
0,7.777778,2,43.33333,2
0,9.411765,1,34.11765,2
0,15,2,40.38462,1
109,12,0,40,0
113,12,0,84,0
112,13.71429,0,48,0
111,23.07692,0,69.23077,0
113,0,0,46.15385,0
114,24,0,36,0
113,18.46154,0,50.76923,0
109,0,0,60,0
110,5,0,50,0
107,4.285715,0,38.57143,0
99,7.058824,0,32.94118,0
0,3.050847,1,16.27119,2
0,17.64706,1,7.058824,3
0,7.058824,0,10.58824,0
0,2.666667,1,17.33333,2
0,1.071429,2,19.28571,2
0,1.034483,2,26.89655,2
0,7.5,1,18.21429,1
0,3.396226,2,23.77358,3
0,4.285715,2,24.64286,3
0,1.111111,2,18.88889,3
0,1.034483,2,15.51724,3
0,8.275862,2,13.44828,1
0,2.068965,2,20.68966,1
0,1.071429,2,24.64286,1
0,2.068965,2,18.62069,2
0,1.034483,2,8.275862,3
0,5.555555,2,7.777778,1
0,2.307692,1,15,1
0,3.333333,1,11.11111,1
0,1.111111,2,11.11111,1
