cadence,eyeMoveRout,focus,blink,sleepy
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,3.050847,0
0,8.780487,2,16.09756,0
0,6.521739,1,26.08696,0
0,7.317073,2,14.63415,2
118,4.615385,0,64.61539,0
108,21.6,0,9.599999,0
115,20,0,52,0
118,23.75,0,52.5,0
118,16.36364,0,44.72727,0
113,7.636364,0,44.72727,0
111,11.02041,0,36.7347,0
109,7.5,0,37.5,0
113,5.853658,0,61.46341,0
114,28.84615,0,61.15384,0
116,27,0,52.5,0
117,7.5,0,52.5,0
123,23.33333,0,81.66667,0
119,15.78947,0,69.47369,0
120,21.66667,0,60,0
120,15.78947,0,75.78947,0
117,8.275862,0,57.93103,0
114,17.72727,0,42.27273,0
114,2.142857,0,43.92857,0
113,1,0,37,0
112,5.172414,0,41.37931,0
114,8.108108,0,56.75676,0
115,7.346939,0,71.02041,0
111,2.4,0,60,0
101,3.157895,0,35.78947,0
113,7.777778,0,35.55556,0
113,4.285715,0,15.71429,0
152,13.46939,0,19.59184,0
0,0,2,2,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,2,4,1
0,0,2,0,1
0,0,0,0,0
0,0,2,1,1
0,0,2,2,1
0,0,2,1,1
0,0,2,1,3
0,0,2,1,3
0,0,2,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,1,3
0,0,2,6,3
0,0,2,4,3
0,0,2,0,3
0,0,2,3,1
0,0,2,0,1
0,0,2,10,1
0,0,2,6,1
0,0,2,0,1
0,0,2,3,1
0,0,2,2,1
0,0,2,2,1
0,0,2,2,1
0,0,2,0,1
0,0,0,0,0
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,5.084746,2,9.152542,1
0,0,2,2.068965,1
0,0,2,1,1
0,9.333334,2,6.666667,1
111,26.89655,0,24.82759,0
0,5.106383,1,14.04255,1
0,7.2,2,7.2,1
0,1.333333,1,13.33333,1
0,0,2,8,1
0,0,2,3,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,1,2,5,1
122,32.43243,0,25.94595,0
114,19.56522,0,45.65217,0
103,13.95349,0,34.88372,0
94,3.67347,0,35.5102,0
88,14.21053,0,20.52632,0
0,10,0,30,0
0,16.74419,1,20.93023,3
0,7.659575,1,26.80851,2
0,8.135593,2,32.54237,2
0,3.636364,2,34.54545,1
100,21.42857,0,38.57143,0
0,7.272727,0,25.45455,0
0,1.276596,2,3.829787,1
0,0,2,0,2
0,1,2,3,1
0,0,2,1,3
0,0,2,1.153846,2
0,1,2,3,2
0,0,2,2,1
0,2.068965,2,0,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,2,2,1
0,0,2,4,1
0,0,2,1,1
0,0,2,0,1
0,0,2,1,1
0,0,2,5,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,1,0,0,0
0,0,2,2,1
0,1,2,2,1
0,0,2,1,1
0,0,2,2,1
0,3.333333,2,13.33333,1
0,5.357143,2,21.42857,3
0,1,2,13,2
0,2.44898,1,19.59184,1
0,2.926829,1,19.02439,1
0,1.463415,2,8.780487,1
0,2.790698,1,22.32558,1
0,1,1,12,1
0,0,1,11,1
0,2.44898,2,6.122449,1
0,4,2,0,1
0,4.444445,2,17.77778,1
0,2.033898,2,10.16949,2
0,5.172414,2,1.034483,1
0,4.444445,1,16.66667,1
0,1.395349,1,20.93023,1
0,12.69231,2,11.53846,1
0,2,1,18,1
0,1.25,1,12.5,1
0,1.132076,1,9.056604,1
0,3.6,2,15.6,1
0,0,2,2.033898,2
0,0,2,3,3
0,0,2,1,3
0,2.033898,2,2.033898,1
0,2.068965,2,3.103448,1
0,0,2,7,1
0,1.016949,2,1.016949,3
0,2.033898,2,2.033898,3
0,1.016949,2,5.084746,3
0,1,2,4,3
0,7.659575,2,10.21277,2
0,0,1,28.16327,1
0,2.553191,1,30.6383,1
0,0,1,18,1
0,0,1,18,1
0,0,1,21,1
0,2.5,1,21.25,1
0,0,1,16.84211,1
0,0,2,22.8,1
0,5.454545,2,21.81818,1
0,6.521739,1,22.17391,1
0,1.034483,1,26.89655,1
0,10,2,11.25,2
0,7.142857,1,14.28571,1
0,6,1,14,1
0,4.615385,1,13.84615,2
0,0,2,9.642857,1
0,1.111111,1,23.33333,1
0,0,2,24.64286,1
0,3.243243,2,24.32432,1
111,11.32076,0,39.62264,0
111,9.599999,0,36,0
118,5,0,28.33333,0
0,5.333333,1,28,1
112,1.22449,0,30.61224,0
114,10,0,50,0
119,9.545454,0,36.81818,0
124,14.04255,0,45.95745,0
114,2.608696,0,28.69565,0
122,4.363636,0,37.09091,0
0,2.44898,1,17.14286,1
0,1.304348,2,9.130434,1
0,6.857143,2,24,1
0,5.853658,1,19.02439,2
0,6.521739,1,24.78261,1
0,8.93617,1,24.25532,1
0,3.67347,1,20.81633,3
0,2.4,2,24,3
0,2.264151,2,22.64151,2
0,3.214286,2,36.42857,3
0,4.285715,1,24.28572,2
0,9.230769,2,30,3
0,4.090909,1,42.27273,3
0,3.157895,2,33.68421,2
0,1.034483,1,24.82759,2
0,0,1,24.78261,2
0,2.222222,2,14.44444,2
121,5,0,33.75,0
0,1.25,1,15,1
0,5.660378,2,35.09434,2
0,6.545455,1,16.36364,1
113,5.217391,0,41.73913,0
0,0,1,29.30233,2
0,13.63636,1,35.45454,2
140,1.666667,0,18.33333,0
0,2.068965,2,2.068965,2
0,0,3,11.18644,2
0,0,3,8,1
